#Feature ID	taxonomy	Confidence
0c7a98dc039ebc9824c9951f386dba70	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae	0.9995450037521714
c32bcd630c6b7289922ea9e1b18a486e	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Lachnospiraceae_NK4A136_group	0.751268410559351
e674e7db684238e5ed384c709ab6d4d0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Muribaculaceae;D_5__mouse_gut_metagenome;D_6__mouse_gut_metagenome	0.972900899431716
e06c31eb8953d607b960c076fba1915b	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae	0.8288981342089294
e944f8a6f2ab8b403a1410db3a50cef8	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Tannerellaceae;D_5__Parabacteroides	0.9984794981640929
72f4b9c3e072ca29717d2a9e9a034d2c	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Muribaculaceae;D_5__uncultured_bacterium;D_6__uncultured_bacterium	0.7744825821436816
2c1b912960b1b86b3b569ea6349976bf	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Muribaculaceae;D_5__mouse_gut_metagenome;D_6__mouse_gut_metagenome	0.9360066682382447
5c95cfc4550d504d92036828de0cefae	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Muribaculaceae;D_5__uncultured_bacterium;D_6__uncultured_bacterium	0.9193962280835891
6581add65089fa7fd9d3394a5adf4613	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Muribaculaceae;D_5__mouse_gut_metagenome;D_6__mouse_gut_metagenome	0.9710026376334189
82aaeb8ba46e42f4226616438e9c1086	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Muribaculaceae;D_5__uncultured_bacterium;D_6__uncultured_bacterium	0.9904891082445287
